epoch,train_loss,val_loss,val_accuracy
1,1.2878836204365987,0.6622092588381334,0.9300911854103343
2,0.3892246372089153,0.3541583073410121,0.9452887537993921
3,0.2562216193210788,0.2861983345990831,0.9148936170212766
4,0.17979204872759377,0.27370445718142117,0.8875379939209727
5,0.13682854911539613,0.1433053802360188,0.993920972644377
6,0.10674712961403335,0.13978665161200546,0.9969604863221885
7,0.10436868631258243,0.19705164043063467,0.939209726443769
8,0.09275217181662233,0.13241736853325908,0.9848024316109423
9,0.07393679581582546,0.11895379788157615,0.9665653495440729
10,0.06482163321499418,0.12191158114001155,0.9817629179331308
11,0.05679712848874127,0.12264677492732351,0.9787234042553191
12,0.05422189550065413,0.10932203847914934,0.9787234042553191
13,0.059919426308535945,0.10922326465052637,0.9787234042553191
14,0.06126010104468683,0.10796769987791777,0.9817629179331308
15,0.057490631120234004,0.11643751130693338,0.9848024316109423
16,0.05211849542470967,0.10836789600381797,0.9848024316109423
